grade,api_gravity,sulfur_pct,naphtha_pct,kerosene_pct,middle_distillate_pct,vacuum_resid_pct,sens_diesel,sens_gasoline,sens_jet,sens_dg_spread,impact_diesel_per_5usd,impact_gasoline_per_4usd
Bonny Light,34.9,0.151,17.491,14.489,54.876000000000005,29.249,0.2487543060000001,-0.138111133,0.0,-0.112061,1.2437715300000005,-0.552444532
Skarv,50.8043095440118,0.0641524144208956,42.45013006474462,29.031541699487,46.71379168035491,1.75244463606187,0.2024090262425197,-0.19459364433651707,0.0,-0.112061,1.0120451312125984,-0.7783745773460683
Qua Iboe,37.29918827600483,0.1199977229937121,23.66454954028139,20.657268081985467,48.413373369161405,4.700861775204813,0.18334305078096205,-0.15208187560965677,0.0,-0.112061,0.9167152539048102,-0.6083275024386271
Goliat,41.2541667789031,0.167457488915332,27.568250982386672,19.97915828936177,46.39963912368749,6.54579925633189,0.17207234512562214,-0.16091595197314104,0.0,-0.112061,0.8603617256281106,-0.6436638078925642
Martin Linge,27.8422641859289,0.21138196382242,11.04843497215546,14.65796456234667,46.85265068316069,13.4803606425822,0.1668967799444976,-0.12353160834198781,0.0,-0.112061,0.8344838997224879,-0.49412643336795126
Alvheim,34.5440158378669,0.40211278459505,19.39621897341145,18.81611092780918,44.78554795670213,8.72113464992648,0.16187780176852753,-0.14242264353683012,0.0,-0.112061,0.8093890088426376,-0.5696905741473205
Heidrun,24.4409440894606,0.532004638793878,7.07375475087069,15.15439635422134,44.70309629756213,15.7949149993578,0.16080615234384624,-0.11453690700122038,0.0,-0.112061,0.8040307617192312,-0.4581476280048815
Oseberg,39.9434656421417,0.189810897966947,25.34171573550684,20.165101684796888,42.91410169649291,8.32821784897739,0.155361932735539,-0.155877302709452,0.0,-0.112061,0.776809663677695,-0.623509210837808
Norne,33.9955719154872,0.173762395630177,10.47441884008746,13.18432354084825,45.44239814855472,8.05150046202256,0.140440969896112,-0.12223260983511793,0.0,-0.112061,0.70220484948056,-0.4889304393404717
Gullfaks,39.2636091110806,0.211019881476799,24.829243951917828,18.783420648551427,40.57882612120363,9.12833245275655,0.1369017915467406,-0.15471757906319006,0.0,-0.112061,0.6845089577337029,-0.6188703162527602
Statfjord,39.2677387701335,0.249441048544377,24.12567940310276,18.647385797110587,40.498496911447944,9.47536168226264,0.13656913359927558,-0.15312541248922154,0.0,-0.112061,0.6828456679963779,-0.6125016499568862
Arab Extra Light,38.5,1.1,30.0,16.0,42.0,10.0,0.13556600000000002,-0.16641899999999998,0.0,-0.112061,0.6778300000000002,-0.6656759999999999
Ekofisk,38.8888505112461,0.207184367217011,23.53437506996303,17.82127360912459,38.82429027928012,12.2005750162672,0.12861479045754362,-0.15178729078332634,0.0,-0.112061,0.6430739522877181,-0.6071491631333054
Arab Light,33.5,1.5,22.0,14.5,38.0,18.0,0.12175099999999998,-0.148315,0.0,-0.112061,0.6087549999999999,-0.59326
Troll,38.765436257241,0.130936656687094,29.08033978396558,17.63698974258655,39.56219896972246,7.17051168368127,0.1216332828097522,-0.1643378089311141,0.0,-0.112061,0.608166414048761,-0.6573512357244564
Grane,27.1149865857435,0.66784513617451,11.76570998444963,13.51221040205046,38.19284273798988,19.0037543623531,0.12085134798735277,-0.12515480169480953,0.0,-0.112061,0.6042567399367639,-0.5006192067792381
Njord,44.766792129643,0.0643388067225921,33.86435529240978,19.38887880939826,39.307903535212745,3.2485766922058,0.11920721880205683,-0.17516403602672334,0.0,-0.112061,0.5960360940102841,-0.7006561441068934
Johan Sverdrup,28.6999948032333,0.808983374979588,13.3664258293227,14.26561024026306,36.93440775154023,19.0386635517432,0.11645060068498254,-0.12877722165175728,0.0,-0.112061,0.5822530034249127,-0.5151088866070291
Draugen,41.4190002302327,0.148773065682343,30.13820917301024,16.56153028606964,39.74767224144448,5.51249407724695,0.11465035299198033,-0.1667317673585222,0.0,-0.112061,0.5732517649599016,-0.6669270694340887
Dubai Fateh,31.0,2.0,19.0,13.0,36.0,21.0,0.10951599999999999,-0.14152599999999999,0.0,-0.112061,0.54758,-0.5661039999999999
Arab Medium,30.5,2.5,18.0,12.0,34.0,24.0,0.099414,-0.139263,0.0,-0.112061,0.49707,-0.557052
Basrah Light,30.5,2.9,17.0,12.0,33.5,25.0,0.09848700000000002,-0.137,0.0,-0.112061,0.49243500000000007,-0.548
Asgard,47.5080455323182,0.203404583226431,42.52891661557821,19.31561673576615,35.27461282891414,4.56725838759823,0.0970574312282528,-0.1947719383010535,0.0,-0.112061,0.48528715614126405,-0.779087753204214
Gudrun,52.8907602496174,0.107484276736867,52.9366564331882,16.34080112742046,28.04992635945584,3.48375045787699,0.03791832864021307,-0.21832465350830488,0.0,-0.112061,0.18959164320106536,-0.8732986140332195
